GRELHA_ECC840_2025_1_MODELO_02
NN
235
NB
430
NOS
255	88	109	10985.0	5492.5	2380.0	991.7
256	109	130	10985.0	5492.5	2380.0	991.7
257	130	151	10985.0	5492.5	2380.0	991.7
258	151	172	10985.0	5492.5	2380.0	991.7
259	172	193	10985.0	5492.5	2380.0	991.7
260	193	214	10985.0	5492.5	2380.0	991.7
261	5	26	10985.0	5492.5	2380.0	991.7
262	26	47	10985.0	5492.5	2380.0	991.7
263	47	68	10985.0	5492.5	2380.0	991.7
264	68	89	10985.0	5492.5	2380.0	991.7
265	89	110	10985.0	5492.5	2380.0	991.7
266	110	131	10985.0	5492.5	2380.0	991.7
267	131	152	10985.0	5492.5	2380.0	991.7
268	152	173	10985.0	5492.5	2380.0	991.7
269	173	194	10985.0	5492.5	2380.0	991.7
270	194	215	10985.0	5492.5	2380.0	991.7
271	6	27	10985.0	5492.5	2380.0	991.7
272	27	48	10985.0	5492.5	2380.0	991.7
273	48	69	10985.0	5492.5	2380.0	991.7
274	69	90	10985.0	5492.5	2380.0	991.7
275	90	111	10985.0	5492.5	2380.0	991.7
276	111	132	10985.0	5492.5	2380.0	991.7
277	132	153	10985.0	5492.5	2380.0	991.7
278	153	174	10985.0	5492.5	2380.0	991.7
279	174	195	10985.0	5492.5	2380.0	991.7
280	195	216	10985.0	5492.5	2380.0	991.7
281	7	28	10985.0	5492.5	2380.0	991.7
282	28	49	10985.0	5492.5	2380.0	991.7
283	49	70	10985.0	5492.5	2380.0	991.7
284	70	91	10985.0	5492.5	2380.0	991.7
285	91	112	10985.0	5492.5	2380.0	991.7
286	112	133	10985.0	5492.5	2380.0	991.7
287	133	154	10985.0	5492.5	2380.0	991.7
288	154	175	10985.0	5492.5	2380.0	991.7
289	175	196	10985.0	5492.5	2380.0	991.7
290	196	217	10985.0	5492.5	2380.0	991.7
291	8	29	10985.0	5492.5	2380.0	991.7
292	29	50	10985.0	5492.5	2380.0	991.7
293	50	71	10985.0	5492.5	2380.0	991.7
294	71	92	10985.0	5492.5	2380.0	991.7
295	92	113	10985.0	5492.5	2380.0	991.7
296	113	134	10985.0	5492.5	2380.0	991.7
297	134	155	10985.0	5492.5	2380.0	991.7
298	155	176	10985.0	5492.5	2380.0	991.7
299	176	197	10985.0	5492.5	2380.0	991.7
300	197	218	10985.0	5492.5	2380.0	991.7
301	9	30	10985.0	5492.5	2380.0	991.7
302	30	51	10985.0	5492.5	2380.0	991.7
303	51	72	10985.0	5492.5	2380.0	991.7
304	72	93	10985.0	5492.5	2380.0	991.7
305	93	114	10985.0	5492.5	2380.0	991.7
306	114	135	10985.0	5492.5	2380.0	991.7
307	135	156	10985.0	5492.5	2380.0	991.7
308	156	177	10985.0	5492.5	2380.0	991.7
309	177	198	10985.0	5492.5	2380.0	991.7
310	198	219	10985.0	5492.5	2380.0	991.7
311	10	31	10985.0	5492.5	2380.0	991.7
312	31	52	10985.0	5492.5	2380.0	991.7
313	52	73	10985.0	5492.5	2380.0	991.7
314	73	94	10985.0	5492.5	2380.0	991.7
315	94	115	10985.0	5492.5	2380.0	991.7
316	115	136	10985.0	5492.5	2380.0	991.7
317	136	157	10985.0	5492.5	2380.0	991.7
318	157	178	10985.0	5492.5	2380.0	991.7
319	178	199	10985.0	5492.5	2380.0	991.7
320	199	220	10985.0	5492.5	2380.0	991.7
321	11	32	10985.0	5492.5	2380.0	991.7
